('Net Interest Income', '1,305,000', '1,153,000', '1,730,000', '2,327,000', '1,764,000')
         487401 function calls (469663 primitive calls) in 1.517 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       37    0.000    0.000    0.000    0.000 typing.py:219(<listcomp>)
       35    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       33    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       31    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       31    0.000    0.000    0.000    0.000 ipaddress.py:1272(__init__)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1710(_parse_hextet)
       31    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    30/14    0.000    0.000    0.120    0.009 {built-in method builtins.__import__}
       30    0.000    0.000    0.000    0.000 enum.py:1049(<lambda>)
       30    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       30    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       29    0.000    0.000    0.000    0.000 ipaddress.py:1606(_ip_int_from_string)
       29    0.000    0.000    0.000    0.000 ipaddress.py:1843(_split_scope_id)
       28    0.000    0.000    0.000    0.000 element.py:293(<listcomp>)
       28    0.000    0.000    0.000    0.000 element.py:274(get_text)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1586(_make_netmask)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2178(__init__)
       28    0.000    0.000    0.000    0.000 __init__.py:579(__missing__)
       26    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
       26    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
       26    0.000    0.000    0.001    0.000 typing.py:483(Union)
       25    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
       25    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       25    0.000    0.000    0.001    0.000 typing.py:1223(__getitem__)
       25    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
       24    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       24    0.001    0.000    0.011    0.000 element.py:779(_find_all)
       24    0.000    0.000    0.011    0.000 element.py:1871(find_all)
       24    0.000    0.000    0.000    0.000 element.py:2011(__init__)
       24    0.000    0.000    0.000    0.000 element.py:2278(__init__)
       24    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
       23    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
       23    0.001    0.000    0.001    0.000 _policybase.py:311(header_fetch_parse)
       22    0.000    0.000    0.544    0.025 {method 'readline' of '_io.BufferedReader' objects}
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       21    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       21    0.000    0.000    0.000    0.000 ipaddress.py:1173(_ip_int_from_string)
       20    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       20    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       20    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       20    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       20    0.000    0.000    0.000    0.000 typing.py:714(__hash__)
