('Net Interest Income', '1,305,000', '1,153,000', '1,730,000', '2,327,000', '1,764,000')
         487371 function calls (469633 primitive calls) in 3.463 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
       90    0.000    0.000    0.001    0.000 typing.py:947(__init__)
       17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
    30/14    0.000    0.000    0.120    0.009 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f9aed6be8c0}
       16    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2178(__init__)
        1    0.000    0.000    0.607    0.607 connectionpool.py:361(_make_request)
      175    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      214    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        8    0.000    0.000    0.001    0.000 message.py:462(get)
        1    0.000    0.000    0.000    0.000 datetime.py:1563(datetime)
       63    0.000    0.000    0.001    0.000 typing.py:1147(copy_with)
      351    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      160    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:243(__repr__)
        1    0.000    0.000    0.000    0.000 socket.py:302(makefile)
       59    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       45    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
       20    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      285    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      347    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.008    0.004 utils.py:1(<module>)
      128    0.000    0.000    0.004    0.000 sre_parse.py:97(closegroup)
      141    0.000    0.000    0.000    0.000 _virtualenv.py:51(find_spec)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      112    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
       44    0.000    0.000    0.000    0.000 ipaddress.py:1878(__init__)
      139    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       17    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       10    0.000    0.000    0.004    0.000 enum.py:536(_convert_)
        2    0.000    0.000    0.026    0.013 connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quopri.py:1(<module>)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        6    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
       66    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.019    0.019 url.py:1(<module>)
       59    0.000    0.000    0.000    0.000 re.py:269(escape)
        3    0.000    0.000    0.000    0.000 client.py:1238(putheader)
       26    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 client.py:206(_read_headers)
        1    0.000    0.000    3.183    3.183 connectionpool.py:522(urlopen)
  121/104    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    2.575    2.575 response.py:632(from_httplib)
       25    0.000    0.000    0.001    0.000 typing.py:1223(__getitem__)
      223    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.002    0.002 client.py:224(parse_headers)
        1    0.000    0.000    3.463    3.463 financial_enhanced.py:1(<module>)
       22    0.000    0.000    0.441    0.020 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 six.py:956(wrapper)
        9    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
        1    0.000    0.000    2.575    2.575 response.py:200(__init__)
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
       24    0.000    0.000    0.000    0.000 element.py:2011(__init__)
      365    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1465(__init__)
    59/57    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
      311    0.000    0.000    0.000    0.000 css_parser.py:314(get_name)
        2    0.000    0.000    0.001    0.000 response.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 client.py:1082(putrequest)
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
       20    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
      172    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      249    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      125    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       31    0.000    0.000    0.000    0.000 ipaddress.py:1272(__init__)
       23    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
        1    0.000    0.000    0.020    0.020 ssl_.py:1(<module>)
    20/11    0.000    0.000    0.023    0.002 <frozen importlib._bootstrap>:421(spec_from_loader)
       17    0.000    0.000    0.001    0.000 typing.py:523(Optional)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
      122    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
